comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision
"Dispone de una gran variedad de productos. Oferta abarrotes y menestras a granel, asi como carnes y pan llevar en general. Por ultimo, también ofrece prendas de vestir y calzado.",Tottus,Atocongo,Retail,5,muy positivo,Hace 6 años,"https://www.google.com/maps/place/Tottus/@-12.1472344,-76.9920292,15z/data=!4m8!3m7!1s0x9105b869706d27f1:0x989b4442c72af420!8m2!3d-12.1472556!4d-76.9817294!9m1!1b1!16s%2Fg%2F119vsqj6c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Dispone de una gran variedad de productos. Oferta abarrotes y menestras a granel, asi como carnes y pan llevar en general. Por ultimo, también ofrece prendas de vestir y calzado.",dispone de una gran variedad de productos oferta abarrotes y menestras a granel asi como carnes y pan llevar en general por ultimo también ofrece prendas de vestir y calzado,178,30,False,False,False,False,True,muy positivo,True,False,
Muy bien ambiente,Falabella,Jockey Plaza,Retail,5,muy positivo,Hace 10 meses,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy bien ambiente,muy bien ambiente,17,3,False,False,False,False,True,muy positivo,True,False,
Es muy bueno. Para reuniones. Comer y Comprar,Ripley,San Miguel,Retail,5,muy positivo,Hace 7 meses,"https://www.google.com/maps/place/Ripley+Plaza+San+Miguel/@-12.0774696,-77.0929724,15z/data=!4m8!3m7!1s0x9105c96d3859bb15:0xb58d1362f3ff5e0e!8m2!3d-12.0774908!4d-77.0826726!9m1!1b1!16s%2Fg%2F1tkkvyrf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Es muy bueno. Para reuniones. Comer y Comprar,es muy bueno para reuniones comer y comprar,45,8,False,False,False,False,True,muy positivo,True,False,
"Completamente cerrado, siendo 10:30am",Claro,Jockey Plaza,Telecomunicaciones,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/Centro+de+Atenci%C3%B3n+Claro/@-12.0853526,-76.9814167,17z/data=!4m8!3m7!1s0x9105c7b2f5f34fa3:0x30c8a5f0bc0128cd!8m2!3d-12.0853579!4d-76.9788418!9m1!1b1!16s%2Fg%2F11b6s_4fll?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D","Completamente cerrado, siendo 10:30am",completamente cerrado siendo 10 30am,37,5,False,False,False,False,True,muy negativo,True,False,
Buena atención de agencia!,Scotiabank,Miraflores,Banca,4,positivo,Hace 8 años,"https://www.google.com/maps/place/Scotiabank/@-12.0975172,-77.1197116,12z/data=!3m1!5s0x9105c819394a5af3:0x5abf258a63b34274!4m12!1m2!2m1!1sscotiabank+miraflores!3m8!1s0x9105c8193eb36fbd:0x114350115c53ffda!8m2!3d-12.1235795!4d-77.0294127!9m1!1b1!15sChVzY290aWFiYW5rIG1pcmFmbG9yZXMiA4gBAZIBBGJhbmvgAQA!16s%2Fg%2F1yj2mg6jf?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Buena atención de agencia!,buena atención de agencia,26,4,False,False,False,False,True,positivo,True,False,
"Ordenado y bien distribuido por dentro , hay de todo a buenos precios pero afuera mucho ruido y comercio ambulatorio.",Metro,Breña,Retail,4,positivo,Fecha de edición: Hace 2 años,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Ordenado y bien distribuido por dentro , hay de todo a buenos precios pero afuera mucho ruido y comercio ambulatorio.",ordenado y bien distribuido por dentro hay de todo a buenos precios pero afuera mucho ruido y comercio ambulatorio,117,19,False,False,False,False,True,positivo,True,False,
"Buena experiencia, centrico, variado, buenos precios, nada de fila, extenso horario de atención fui alrededor de las 22:30 hrs",Wong,Miraflores,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Buena experiencia, centrico, variado, buenos precios, nada de fila, extenso horario de atención fui alrededor de las 22:30 hrs",buena experiencia centrico variado buenos precios nada de fila extenso horario de atención fui alrededor de las 22 30 hrs,126,20,False,False,False,False,True,muy positivo,True,False,
"Pésimo lugar, colas quennunca acaban.",Interbank,San Miguel,Banca,1,muy negativo,Hace 2 años,"https://www.google.com/maps/place/Tienda+Interbank/@-12.0344632,-77.1653504,12z/data=!4m12!1m2!2m1!1sinterbank+san+miguel!3m8!1s0x9105c960e9e951c1:0xfbcdb751e56d4fe2!8m2!3d-12.0768784!4d-77.0811359!9m1!1b1!15sChRpbnRlcmJhbmsgc2FuIG1pZ3VlbCIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F11h3ftdq6m?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésimo lugar, colas quennunca acaban.",pésimo lugar colas quennunca acaban,37,5,False,False,False,False,True,muy negativo,True,False,
Buen trato,Claro,San Isidro,Telecomunicaciones,4,positivo,Hace 7 años,"https://www.google.com/maps/place/Claro/@-12.0960772,-77.1197129,12z/data=!4m12!1m2!2m1!1sclaro+san+isidro!3m8!1s0x9105c85bd40bef3d:0xf3981315533d1cf8!8m2!3d-12.0919836!4d-77.0419073!9m1!1b1!15sChBjbGFybyBzYW4gaXNpZHJvIgOIAQFaEiIQY2xhcm8gc2FuIGlzaWRyb5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11b6v4ffrv?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Buen trato,buen trato,10,2,True,False,False,False,True,positivo,True,True,comentario_corto
"Queríamos comprar un teléfono urgente para usar en la empresa, los teléfonos exhibidos no tienen precio, teníamos que solicitar un ticket para que un asesor nos diera el precio, tardo más de 15min en atender, luego nos atendió sin entusiasmo. Salimos y compramos en otra tienda de inmediato",Movistar,San Miguel,Telecomunicaciones,1,muy negativo,Hace un año,"https://www.google.com/maps/place/Movistar/@-12.073177,-77.1385327,13z/data=!4m12!1m2!2m1!1smovistar+san+miguel!3m8!1s0x9105c96d80ef1e1b:0x2b9a36f3b3ce141b!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!15sChNtb3Zpc3RhciBzYW4gbWlndWVsIgOIAQFaFSITbW92aXN0YXIgc2FuIG1pZ3VlbJIBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xrdtwpz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Queríamos comprar un teléfono urgente para usar en la empresa, los teléfonos exhibidos no tienen precio, teníamos que solicitar un ticket para que un asesor nos diera el precio, tardo más de 15min en atender, luego nos atendió sin entusiasmo. Salimos y compramos en otra tienda de inmediato",queríamos comprar un teléfono urgente para usar en la empresa los teléfonos exhibidos no tienen precio teníamos que solicitar un ticket para que un asesor nos diera el precio tardo más de 15min en atender luego nos atendió sin entusiasmo salimos y compramos en otra tienda de inmediato,290,48,False,False,False,False,True,muy negativo,True,False,
