id_manual,comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,etiqueta_manual,observacion_manual
1,Muy poca variedad de productos a comparación de otras sucursales (Mall del sur por ejemplo),Falabella,Jockey Plaza,Retail,3,neutral,Hace un año,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy poca variedad de productos a comparación de otras sucursales (Mall del sur por ejemplo),muy poca variedad de productos a comparación de otras sucursales mall del sur por ejemplo,91,15,False,False,False,False,True,neutral,True,False,,,
2,"Pésima atención! Tengo esperando x un reclamo desde marzo del 2021!!! Y aún no me dan solución, solo dicen error de sistema, sin embargo.. ese error, lo debo pagar yo xq mes a mes.. me cobran excesos x una línea PRE PAGO",Entel,San Miguel,Telecomunicaciones,1,muy negativo,Hace 3 años,"https://www.google.com/maps/place/TIENDA+PLAZA+SAN+MIGUEL+-+ENTEL/@-12.0763584,-77.0928335,15z/data=!3m1!5s0x9105c971d670aa0f:0x8193992371f626fa!4m8!3m7!1s0x9105c96d7da22637:0x682badb0e9bd7614!8m2!3d-12.0763796!4d-77.0825337!9m1!1b1!16s%2Fg%2F11b6qyzz6h?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésima atención! Tengo esperando x un reclamo desde marzo del 2021!!! Y aún no me dan solución, solo dicen error de sistema, sin embargo.. ese error, lo debo pagar yo xq mes a mes.. me cobran excesos x una línea PRE PAGO",pésima atención tengo esperando x un reclamo desde marzo del 2021 y aún no me dan solución solo dicen error de sistema sin embargo ese error lo debo pagar yo xq mes a mes me cobran excesos x una línea pre pago,220,42,False,False,False,False,True,muy negativo,True,False,,,
3,Trato agradable y variedad de productos a precios razonables,Oechsle,Jockey Plaza,Retail,5,muy positivo,Hace 8 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Trato agradable y variedad de productos a precios razonables,trato agradable y variedad de productos a precios razonables,60,9,False,False,False,False,True,muy positivo,True,False,,,
4,"Muy ordenado,muy buena ropa y buenos precios hace años que lo visito",Falabella,Miraflores,Retail,5,muy positivo,Fecha de edición: Hace un año,"https://www.google.com/maps/place/Falabella+Miraflores/@-12.1189161,-77.0396353,15z/data=!3m1!5s0x9105c81763e2747b:0x674025098786c509!4m8!3m7!1s0x9105c8176149b98f:0xa9c9d111f1acf623!8m2!3d-12.1189373!4d-77.0293355!9m1!1b1!16s%2Fg%2F1hf33fyft?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Muy ordenado,muy buena ropa y buenos precios hace años que lo visito",muy ordenado muy buena ropa y buenos precios hace años que lo visito,68,13,False,False,False,False,True,muy positivo,True,False,,,
5,"Largas colas, con poco personal",Claro,Plaza Norte,Telecomunicaciones,1,muy negativo,Hace 4 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Largas colas, con poco personal",largas colas con poco personal,31,5,False,False,False,False,True,muy negativo,True,False,,,
6,No funciona cajero multifunción,BCP,San Miguel,Banca,3,neutral,Hace 9 años,"https://www.google.com/maps/place/BCP+Plaza+San+Miguel/@-12.1182729,-77.3505433,10z/data=!4m12!1m2!2m1!1sbcp+san+miguel!3m8!1s0x9105c96d9b4f0913:0x3a44b726221b2d1b!8m2!3d-12.0769726!4d-77.0811986!9m1!1b1!15sCg5iY3Agc2FuIG1pZ3VlbCIDiAEBWhAiDmJjcCBzYW4gbWlndWVskgEEYmFua5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSVgwbDJlakozUlJBQuABAPoBBAgAEEc!16s%2Fg%2F11b6hlpmht?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",No funciona cajero multifunción,no funciona cajero multifunción,31,4,False,False,False,False,True,neutral,True,False,,,
7,Pésimo servicio postventa,Entel,Miraflores,Telecomunicaciones,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/Entel+Miraflores/@-12.0981593,-77.067645,13z/data=!4m12!1m2!2m1!1sentel+miraflores!3m8!1s0x9105c83a9a4e26b1:0xf7e0e0e0c1a0eeb1!8m2!3d-12.1178405!4d-77.0443373!9m1!1b1!15sChBlbnRlbCBtaXJhZmxvcmVzIgOIAQGSARF0ZWxlcGhvbmVfY29tcGFueeABAA!16s%2Fg%2F11bx1cbmzz?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésimo servicio postventa,pésimo servicio postventa,25,3,False,False,False,False,True,muy negativo,True,False,,,
8,"Es un banco, así que no puedo decirte que su café sea increíble ni que sus croissants estén recién hechos... Es un banco excelente cuyo departamento de comercio internacional es uno de los mejores de Latinoamérica. Eso es todo.",BanBif,San Isidro,Banca,5,muy positivo,Hace un año,"https://www.google.com/maps/place/BanBif/@-12.0967972,-77.1197123,12z/data=!4m12!1m2!2m1!1sbanbif+san+isidro!3m8!1s0x9105c8642debb36b:0xe1feed46c57c732e!8m2!3d-12.093447!4d-77.0270186!9m1!1b1!15sChFiYW5iaWYgc2FuIGlzaWRybyIDiAEBkgEEYmFua-ABAA!16s%2Fg%2F11f54m2k13?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es un banco, así que no puedo decirte que su café sea increíble ni que sus croissants estén recién hechos... Es un banco excelente cuyo departamento de comercio internacional es uno de los mejores de Latinoamérica. Eso es todo.",es un banco así que no puedo decirte que su café sea increíble ni que sus croissants estén recién hechos es un banco excelente cuyo departamento de comercio internacional es uno de los mejores de latinoamérica eso es todo,227,39,False,False,False,False,True,muy positivo,True,False,,,
9,"Pesima atención al cliente. Para cambiar una prenda de vestir hay que hacer una fila muy larga donde uno pierde más de una hora. En esa fila solo dan una nota de crédito con la cual hay que ir a otra caja para pagar por la prenda de vestir que uno quiere. Si esta prenda de vestir que era igual a la anterior que se devolvió está a mayor precio, uno tiene que pagar la diferencia. Que pena que esta tienda no sepa como es un buen servicio al cliente a nivel internacional.",Ripley,Jockey Plaza,Retail,1,muy negativo,Hace 7 años,"https://www.google.com/maps/place/Ripley+Jockey+Plaza/@-12.0862079,-76.975348,17z/data=!4m8!3m7!1s0x9105c7ad844cc929:0xa01319051af018b9!8m2!3d-12.0862079!4d-76.975348!9m1!1b1!16s%2Fg%2F1tg8kswb?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pesima atención al cliente. Para cambiar una prenda de vestir hay que hacer una fila muy larga donde uno pierde más de una hora. En esa fila solo dan una nota de crédito con la cual hay que ir a otra caja para pagar por la prenda de vestir que uno quiere. Si esta prenda de vestir que era igual a la anterior que se devolvió está a mayor precio, uno tiene que pagar la diferencia. Que pena que esta tienda no sepa como es un buen servicio al cliente a nivel internacional.",pesima atención al cliente para cambiar una prenda de vestir hay que hacer una fila muy larga donde uno pierde más de una hora en esa fila solo dan una nota de crédito con la cual hay que ir a otra caja para pagar por la prenda de vestir que uno quiere si esta prenda de vestir que era igual a la anterior que se devolvió está a mayor precio uno tiene que pagar la diferencia que pena que esta tienda no sepa como es un buen servicio al cliente a nivel internacional,472,93,False,False,False,False,True,muy negativo,True,False,,,
10,Lugar adecuado para compras y centrico.. Es un supermercado amplio y con estacionamiento normal y preferenciales . Bivicletas motos y dillas de rueda,Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",Lugar adecuado para compras y centrico.. Es un supermercado amplio y con estacionamiento normal y preferenciales . Bivicletas motos y dillas de rueda,lugar adecuado para compras y centrico es un supermercado amplio y con estacionamiento normal y preferenciales bivicletas motos y dillas de rueda,149,22,False,False,False,False,True,positivo,True,False,,,
