comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url
Fui Ayer a pagar mi estado de cuenta.. estacione mi Auto en el segundo piso y cuando Hiba a salir enseñe a la señora del estacionamiento mi boucher de pago x 745 soles .. me dijo que eso no valía para el estacionamiento.. entonces acaso no es pago x consumo .. que abuso en plaza vea,Plaza Vea,Universitaria,Retail,1,muy negativo,Hace 4 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Lugar adecuado para compras y centrico.. Es un supermercado amplio y con estacionamiento normal y preferenciales . Bivicletas motos y dillas de rueda,Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Buen lugar de consigue todo y la atención es buena, facilidad para estacionar y los baños son muy aseados",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Todo arreglado limpio y fresco solo diría que el pan embolsado no me agrada mucho que digamos,Plaza Vea,Universitaria,Retail,4,positivo,Hace 3 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Deben abrir más cajas, solo 2 cajas habilitadas hacen que uno se demore y se forme cola",Plaza Vea,Universitaria,Retail,1,muy negativo,Hace 7 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Excelente lugar para visitar en familia, encuentras todo lo que necesitas patio de comidas juegos, zonas bancarias y más",Plaza Vea,Universitaria,Retail,5,muy positivo,Editado Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Renovado, espacioso, buena opción para las compras de la semana. Luego de levantada ciertas restricciones, vuelve con la misma atención de siempre. El único espacio que no está ofreciendo servicios es el de comida y consumo en el local.",Plaza Vea,Universitaria,Retail,5,muy positivo,Editado Hace 4 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Siempre voy a hacer mis compras, pocas cajas para pagar pero avanzan rapido",Plaza Vea,Universitaria,Retail,4,positivo,Hace 8 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Al llegar me abordaron tres tipos de mal vivir, dijeron que verían mi moto y qué la propina era voluntaria. Aunque no les di nada es incómodo y malogra la experiencia de compra.",Plaza Vea,Universitaria,Retail,3,neutral,Hace 11 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Gente regular cámaras por todos lados ve muy bien 😃❤️‍🩹 vestido si no te siguen…,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 8 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Buenas ofertas en los pollos a la brasa, polos en oferta, pasteles muy ricos!.",Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Bonito y limpio, lo bueno que no se paga nada por estacionamiento, pero el lugar donde guardas tu moto es chico",Plaza Vea,Universitaria,Retail,4,positivo,Hace 5 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Lugar amplio, diversidad de productos, tienen un Inkafarma dentro, pero a mí parecer no hay muchas variedad en tipos de tortas. 🎂…",Plaza Vea,Universitaria,Retail,4,positivo,Hace 3 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
En este lugar encontraras de todo para tu casa viveres electrodomesticos celulares muebles de todo y con precios realmente bajos,Plaza Vea,Universitaria,Retail,4,positivo,Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"El servicio de estacionamiento en una tonteria, hemos consumido mas de 160 soles y aun así debo pagar aparcamiento porque me pase 5 minutos de la hora, sin contar que ibamos con una persona con sillas de ruedas. Un abuso total por parte de APPARKA y de Plaza Vea, sin contar que no nos dieron ni un comprobante de pago del estacionamiento.",Plaza Vea,Universitaria,Retail,2,negativo,Hace 11 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Hay lugares ordenados y limpios zona de esparcimiento.,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 5 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"Supermercado muy bueno, excelentes precios, limpio y con bastante variedad",Plaza Vea,Universitaria,Retail,4,positivo,Hace 9 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Algunos productos no tienen códigos lo que impide su compra.,Plaza Vea,Universitaria,Retail,4,positivo,Fecha de edición: Hace 2 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
Super bien es un sitio donde puedes distraer tu mente familiarmente,Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
"La verdad fuimos a hacer unas compras pequeñas y nos quedamos a desayunar porque tienen una promoción muy atractiva de café y empanada, triple o pizza. Estuvieron deliciosos.",Plaza Vea,Universitaria,Retail,5,muy positivo,Hace 11 meses,"https://www.google.com/maps/place/plazaVea+Universitaria/@-12.0109208,-77.0798905,18z/data=!4m8!3m7!1s0x9105ce92b90f4839:0xdee13deabc3cb2a7!8m2!3d-12.0107188!4d-77.0799534!9m1!1b1!16s%2Fg%2F1hf164k74?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D"
