comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,sentimiento_modelo,polaridad_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,requiere_revision_etiqueta,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_final_original,sentimiento_final_origen,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia,sentimiento_ia_neutral,confianza_ia_neutral,justificacion_ia_neutral,usar_etiqueta_ia_neutral,regla_aplicada
Este lugar es muy acogedor y tiene un buen lugar para estacionar su auto. Trato amable e ideal para realizar compras y tiene rutas que conectan a distintos distritos como a las playas del sur ❤️,Tottus,Atocongo,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Tottus/@-12.1472344,-76.9920292,15z/data=!4m8!3m7!1s0x9105b869706d27f1:0x989b4442c72af420!8m2!3d-12.1472556!4d-76.9817294!9m1!1b1!16s%2Fg%2F119vsqj6c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Este lugar es muy acogedor y tiene un buen lugar para estacionar su auto. Trato amable e ideal para realizar compras y tiene rutas que conectan a distintos distritos como a las playas del sur ❤️,este lugar es muy acogedor y tiene un buen lugar para estacionar su auto trato amable e ideal para realizar compras y tiene rutas que conectan a distintos distritos como a las playas del sur,194,35,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9598431587219238,0.0030278998892754,0.0371288247406482,0.9598431587219238,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Lugar de trabajo excelente, muy amplio. Hay una catarata artificial muy Hermosa. Parece que hay Todo UN Mundo dentro.",BCP,La Molina,Banca,5,muy positivo,Hace 4 años,"https://www.google.com/maps/place/BCP+Sede+Central/@-12.1165405,-77.3505486,10z/data=!4m12!1m2!2m1!1sbcp+la+molina!3m8!1s0x9105c6c34f1fe2c7:0xa091f19f413baad7!8m2!3d-12.0695085!4d-76.9370266!9m1!1b1!15sCg1iY3AgbGEgbW9saW5hIgOIAQFaDyINYmNwIGxhIG1vbGluYZIBBGJhbmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRiazFNVVhKblJSQULgAQD6AQQIABBB!16s%2Fg%2F1tvw5_7n?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Lugar de trabajo excelente, muy amplio. Hay una catarata artificial muy Hermosa. Parece que hay Todo UN Mundo dentro.",lugar de trabajo excelente muy amplio hay una catarata artificial muy hermosa parece que hay todo un mundo dentro,117,19,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9760629534721376,0.0033900109119713,0.0205470435321331,0.9760629534721376,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
Muy buena...las personas que trabajan ahi son muy cordiales y educadas..hoy me atendio la.Srta. Katty en caja rapida...muy.contenta con su trato...los felicito por tener a estas personas trabajando para ustedes...todos los.dias voy a wong me.encanta..,Wong,La Molina,Retail,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Wong+La+Molina/@-12.0909119,-77.371532,10z/data=!4m12!1m2!2m1!1swong+la+molina!3m8!1s0x9105c71a9112c9a1:0xf1ccb920f195bc5b!8m2!3d-12.0919991!4d-76.9514207!9m1!1b1!15sCg53b25nIGxhIG1vbGluYSIDiAEBWhAiDndvbmcgbGEgbW9saW5hkgELc3VwZXJtYXJrZXSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTYkdSdVdYUlJWa1p5Vld4UmQxTkZNVE5VUjJSeVRsaG9UMUpWUlJBQuABAPoBBAgAECE!16s%2Fg%2F1tm8g106?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Muy buena...las personas que trabajan ahi son muy cordiales y educadas..hoy me atendio la.Srta. Katty en caja rapida...muy.contenta con su trato...los felicito por tener a estas personas trabajando para ustedes...todos los.dias voy a wong me.encanta..,muy buena las personas que trabajan ahi son muy cordiales y educadas hoy me atendio la srta katty en caja rapida muy contenta con su trato los felicito por tener a estas personas trabajando para ustedes todos los dias voy a wong me encanta,251,44,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9572975635528564,0.0047082710079848,0.037994135171175,0.9572975635528564,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Estupendo lugar, tranquilo y relajante",Wong,Miraflores,Retail,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Estupendo lugar, tranquilo y relajante",estupendo lugar tranquilo y relajante,38,5,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9725803732872008,0.0024203897919505,0.0249992106109857,0.9725803732872008,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
"Super amplio y con mucha variedad, además de gran ofertas",Wong,Miraflores,Retail,5,muy positivo,Hace un año,"https://www.google.com/maps/place/Wong+Balta/@-12.0918647,-77.0830566,13z/data=!4m12!1m2!2m1!1swong+miraflores!3m8!1s0x9105c818937627d1:0x58b52912789b6072!8m2!3d-12.1229264!4d-77.0321381!9m1!1b1!15sCg93b25nIG1pcmFmbG9yZXMiA4gBAVoRIg93b25nIG1pcmFmbG9yZXOSAQtzdXBlcm1hcmtldOABAA!16s%2Fg%2F11b6gnjz11?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Super amplio y con mucha variedad, además de gran ofertas",super amplio y con mucha variedad además de gran ofertas,57,10,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9439358711242676,0.0036267272662371,0.0524374432861804,0.9439358711242676,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,
Es muy grande pero hay q tener mad orden,Metro,San Miguel,Retail,2,negativo,Hace 7 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Es muy grande pero hay q tener mad orden,es muy grande pero hay q tener mad orden,40,9,False,False,False,False,True,negativo,True,False,,NEU,neutral,0.618622362613678,0.0961998924612999,0.618622362613678,0.2851777672767639,negativo,negativo,True,baja,sin_etiqueta_final_confiable,,ia_clase_minoritaria,negativo,media,Valoración baja con texto poco expresivo,si,,,,,
"no compren celulares aquí, pésima atención, si van a trabajar atendiendo por lo menos finjan interés en su trabajo. 😡 mejor por su web.…",Falabella,San Isidro,Retail,1,muy negativo,Hace 7 meses,"https://www.google.com/maps/place/Falabella+San+Isidro/@-12.095059,-77.0353392,15z/data=!3m1!5s0x9105c8659f44c175:0xad6aabac9e79ccf4!4m8!3m7!1s0x9105c8659f618827:0xeb62a6d2d04ae434!8m2!3d-12.0950802!4d-77.0250394!9m1!1b1!16s%2Fg%2F12vr6lfkt?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","no compren celulares aquí, pésima atención, si van a trabajar atendiendo por lo menos finjan interés en su trabajo. 😡 mejor por su web.…",no compren celulares aquí pésima atención si van a trabajar atendiendo por lo menos finjan interés en su trabajo mejor por su web,136,23,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9560356736183168,0.9560356736183168,0.0398467890918254,0.0041175344958901,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Les hace falta urgentemente aire acondicionado. Cómo es posible que en una temporada de verano como la que enfrentamos , no proporcionen un ambiente fresco a sus clientes. Ese es uno de los motivos por los que prefiero el plaza vea de mi distrito tiene su plus en ese aspecto y siempre con un aroma excelente.",Metro,Breña,Retail,1,muy negativo,Hace 3 años,"https://www.google.com/maps/place/Metro+Bre%C3%B1a/@-12.053956,-77.0534221,15z/data=!4m8!3m7!1s0x9105c8c53e4b0cb1:0x35d73616c6af137!8m2!3d-12.0539772!4d-77.0431223!9m1!1b1!16s%2Fg%2F11h1cmj1r?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Les hace falta urgentemente aire acondicionado. Cómo es posible que en una temporada de verano como la que enfrentamos , no proporcionen un ambiente fresco a sus clientes. Ese es uno de los motivos por los que prefiero el plaza vea de mi distrito tiene su plus en ese aspecto y siempre con un aroma excelente.",les hace falta urgentemente aire acondicionado cómo es posible que en una temporada de verano como la que enfrentamos no proporcionen un ambiente fresco a sus clientes ese es uno de los motivos por los que prefiero el plaza vea de mi distrito tiene su plus en ese aspecto y siempre con un aroma excelente,309,55,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9708805680274964,0.9708805680274964,0.0241544768214225,0.0049649095162749,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
Pésimo el servicio. Deseaba comprar unas almohadas de pluma por internet y me acerqué a ver la calidad del producto algo que no se puede verificar en línea y me dijeron que no podían mostrarme nada por que era otra área y sino me gustaba lo podía devolver. Donde estamos más aún cuando en Internet se vende gato por liebre. Deben de mejorar la atención por respeto hacia el cliente.,Falabella,Jockey Plaza,Retail,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Falabella+Jockey+Plaza/@-12.0865358,-76.9882888,15z/data=!4m8!3m7!1s0x9105c7b24f9a0559:0x828b01774db724c1!8m2!3d-12.086557!4d-76.977989!9m1!1b1!16s%2Fg%2F1tc_s1z8?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Pésimo el servicio. Deseaba comprar unas almohadas de pluma por internet y me acerqué a ver la calidad del producto algo que no se puede verificar en línea y me dijeron que no podían mostrarme nada por que era otra área y sino me gustaba lo podía devolver. Donde estamos más aún cuando en Internet se vende gato por liebre. Deben de mejorar la atención por respeto hacia el cliente.,pésimo el servicio deseaba comprar unas almohadas de pluma por internet y me acerqué a ver la calidad del producto algo que no se puede verificar en línea y me dijeron que no podían mostrarme nada por que era otra área y sino me gustaba lo podía devolver donde estamos más aún cuando en internet se vende gato por liebre deben de mejorar la atención por respeto hacia el cliente,382,70,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.969742238521576,0.969742238521576,0.0278203170746564,0.0024374991189688,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
"Pésimo servicio, hay 3 ventanillas libres,estoy con una persona mayor y niño pequeño y no son capaces de atenderme Es deprimente la atención.",Movistar,San Isidro,Telecomunicaciones,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Movistar+-+Centro+de+Atenci%C3%B3n+y+Venta+San+Isidro+-+Juan+de+Arona/@-12.0964878,-77.0379758,15z/data=!3m1!5s0x9105c86f55516a2b:0xb4bdd97027c54e51!4m8!3m7!1s0x9105c86f5551a06f:0x8a1f64392d6a1f9f!8m2!3d-12.096509!4d-77.027676!9m1!1b1!16s%2Fg%2F11bc95wrd7?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésimo servicio, hay 3 ventanillas libres,estoy con una persona mayor y niño pequeño y no son capaces de atenderme Es deprimente la atención.",pésimo servicio hay 3 ventanillas libres estoy con una persona mayor y niño pequeño y no son capaces de atenderme es deprimente la atención,141,24,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.9800517559051514,0.9800517559051514,0.0169531013816595,0.0029950819443911,muy negativo,muy negativo,False,alta,,muy negativo,consistencia_estrella_modelo,,,,,,,,,
