id_registro,comentario,empresa,sede,rubro,estrellas,sentimiento_estrella,fecha_resena,url,comentario_limpio,texto_modelo,longitud_caracteres,cantidad_palabras,comentario_corto,sin_contenido_alfabetico,duplicado_global,duplicado_empresa_sede,estrellas_validas,sentimiento_esperado,sentimiento_consistente,requiere_revision,motivo_revision,sentimiento_modelo,polaridad_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,requiere_revision_etiqueta,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_final_original,sentimiento_final_origen,sentimiento_ia,confianza_ia,justificacion_ia,usar_etiqueta_ia,sentimiento_ia_neutral,confianza_ia_neutral,justificacion_ia_neutral,usar_etiqueta_ia_neutral,regla_aplicada,tercil_longitud,etiqueta_llm,confianza_llm,justificacion_llm,sentimiento_v2
3012,"Lo han renovado hace poco y ha quedado super bonito, además que ahora cuenta con más variedad de marcas y servicios, es como un híbrido con vivanda. El patio de comidas también está remodelado y super ventilado ahora. Definitivamente una buena opción.",Plaza Vea,Miraflores,Retail,5,muy positivo,Hace 3 años,"https://www.google.com/maps/place/plazaVea+Miraflores/@-12.1122237,-77.031688,17z/data=!3m1!5s0x9105c814389568b9:0x57570d65053fb554!4m17!1m8!3m7!1s0x9105c8143897b2c1:0xb77f6c4ff4007d96!2sPlaza+Vea+Miraflores,+Av.+Arequipa+4651,+Miraflores+15046!3b1!8m2!3d-12.112229!4d-77.0291131!16s%2Fg%2F1jkxdgykk!3m7!1s0x9105c81438bc15af:0xde58cec54fd29387!8m2!3d-12.1123414!4d-77.0290861!9m1!1b1!16s%2Fg%2F1tfm2j25?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Lo han renovado hace poco y ha quedado super bonito, además que ahora cuenta con más variedad de marcas y servicios, es como un híbrido con vivanda. El patio de comidas también está remodelado y super ventilado ahora. Definitivamente una buena opción.",lo han renovado hace poco y ha quedado super bonito además que ahora cuenta con más variedad de marcas y servicios es como un híbrido con vivanda el patio de comidas también está remodelado y super ventilado ahora definitivamente una buena opción,251,42,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.9704697728157043,0.0026228944770991,0.0269072670489549,0.9704697728157043,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,,larga,positivo,0.9,Elogia mejoras y recomienda sin reservas,positivo
195,Atencion rapida y personalizada.,BCP,La Molina,Banca,5,muy positivo,Hace 3 semanas,"https://www.google.com/maps/place/BCP+Sede+Central/@-12.1165405,-77.3505486,10z/data=!4m12!1m2!2m1!1sbcp+la+molina!3m8!1s0x9105c6c34f1fe2c7:0xa091f19f413baad7!8m2!3d-12.0695085!4d-76.9370266!9m1!1b1!15sCg1iY3AgbGEgbW9saW5hIgOIAQFaDyINYmNwIGxhIG1vbGluYZIBBGJhbmuaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUXRiazFNVVhKblJSQULgAQD6AQQIABBB!16s%2Fg%2F1tvw5_7n?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Atencion rapida y personalizada.,atencion rapida y personalizada,32,4,False,False,False,False,True,muy positivo,True,False,,NEU,neutral,0.6823717951774597,0.0255042072385549,0.6823717951774597,0.292123943567276,neutral,muy positivo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R1_estrellas_altas_neu_neutral,corta,positivo,0.85,"Destaca rapidez y personalización, tono favorable",positivo
693,"Mucho demoran en la atención, hasta para dar un ticket",Claro,Plaza Norte,Telecomunicaciones,3,neutral,Hace 7 años,"https://www.google.com/maps/place/Claro+-+Plaza+Norte/@-12.0696528,-77.1716353,12z/data=!4m12!1m2!2m1!1sclaro+los+olivos!3m8!1s0x9105cefcfd8c6d8b:0x6ff66af64c01e943!8m2!3d-12.006859!4d-77.0599056!9m1!1b1!15sChBjbGFybyBsb3Mgb2xpdm9zIgOIAQFaEiIQY2xhcm8gbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F11xxm9n4g?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Mucho demoran en la atención, hasta para dar un ticket",mucho demoran en la atención hasta para dar un ticket,54,10,False,False,False,False,True,neutral,True,False,,NEG,negativo,0.96027809381485,0.96027809381485,0.0364514775574207,0.0032704235054552,negativo,neutral,True,baja,sin_etiqueta_final_confiable,,ia_clase_minoritaria,negativo,alta,Crítica clara pero no extrema,si,,,,,,corta,negativo,0.9,"Queja por larga espera, insatisfacción clara",negativo
2565,Te recomiendo darte una vuelta siempre por esta tienda por departamentos casi siempre encuentras buenas promociones o productos con buenos descuentos.,Oechsle,Jockey Plaza,Retail,4,positivo,Hace 8 años,"https://www.google.com/maps/place/Oechsle+Jockey+Plaza/@-12.086616,-76.9755849,17z/data=!4m8!3m7!1s0x9105c7ad8cbc3bdd:0x1eb0fa0150c6d250!8m2!3d-12.086616!4d-76.9755849!9m1!1b1!16s%2Fg%2F11b6vd8v1c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Te recomiendo darte una vuelta siempre por esta tienda por departamentos casi siempre encuentras buenas promociones o productos con buenos descuentos.,te recomiendo darte una vuelta siempre por esta tienda por departamentos casi siempre encuentras buenas promociones o productos con buenos descuentos,150,21,False,False,False,False,True,positivo,True,False,,POS,positivo,0.9024765491485596,0.0034102869685739,0.0941131114959716,0.9024765491485596,positivo,positivo,False,alta,,positivo,consistencia_estrella_modelo,,,,,,,,,,media,muy positivo,0.92,"Recomienda fuertemente, destaca buenas promociones",muy positivo
1979,Segunda vez allí y creo que voy a ir x tercera vez por una simple migración de plan de un celular,Movistar,Los Olivos,Telecomunicaciones,1,muy negativo,Hace 6 años,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Segunda vez allí y creo que voy a ir x tercera vez por una simple migración de plan de un celular,segunda vez allí y creo que voy a ir x tercera vez por una simple migración de plan de un celular,97,21,False,False,False,False,True,muy negativo,True,False,,NEG,negativo,0.6087726950645447,0.6087726950645447,0.3848394453525543,0.0063877706415951,muy negativo,muy negativo,False,media,,muy negativo,consistencia_estrella_modelo,,,,,,,,,,media,positivo,0.85,"Planea volver, muestra satisfacción moderada",positivo
323,Queda en el tercer nivel por la parte de Wong. Ahí están todos los bancos.,BCP,San Miguel,Banca,4,positivo,Hace 7 años,"https://www.google.com/maps/place/BCP+Plaza+San+Miguel/@-12.1182729,-77.3505433,10z/data=!4m12!1m2!2m1!1sbcp+san+miguel!3m8!1s0x9105c96d9b4f0913:0x3a44b726221b2d1b!8m2!3d-12.0769726!4d-77.0811986!9m1!1b1!15sCg5iY3Agc2FuIG1pZ3VlbCIDiAEBWhAiDmJjcCBzYW4gbWlndWVskgEEYmFua5oBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOSVgwbDJlakozUlJBQuABAPoBBAgAEEc!16s%2Fg%2F11b6hlpmht?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Queda en el tercer nivel por la parte de Wong. Ahí están todos los bancos.,queda en el tercer nivel por la parte de wong ahí están todos los bancos,74,15,False,False,False,False,True,positivo,True,False,,NEU,neutral,0.9233887195587158,0.0220383182168006,0.9233887195587158,0.0545729883015155,neutral,positivo,True,baja,sin_etiqueta_final_confiable,,regla_voto_ponderado,,,,,,,,,R1_estrellas_altas_neu_neutral,corta,neutral,0.8,"Solo describe ubicación, sin valoración",neutral
2011,"Es imposible recablear sus servicios, es más fácil que vuelva con mi ex",Movistar,Los Olivos,Telecomunicaciones,2,negativo,Fecha de edición: Hace 8 años,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Es imposible recablear sus servicios, es más fácil que vuelva con mi ex",es imposible recablear sus servicios es más fácil que vuelva con mi ex,71,13,False,False,False,False,True,negativo,True,False,,NEG,negativo,0.9624794721603394,0.9624794721603394,0.0354557745158672,0.002064811065793,negativo,negativo,False,alta,,negativo,consistencia_estrella_modelo,,,,,,,,,,corta,muy negativo,0.95,"Expresa imposibilidad y enojo, desaconseja",muy negativo
2088,"Fui después de años a la agencia de atención al cliente y por 2da vez me atendieron rapidamente y me dieron solución a mis dudas. Pero así como a mi me ayudaron, se que hay clientes que se retiran disconformes con la atención y el servicio que brindan.",Movistar,Los Olivos,Telecomunicaciones,5,muy positivo,Hace 7 años,"https://www.google.com/maps/place/Movistar/@-12.0012823,-77.0856623,14z/data=!4m12!1m2!2m1!1smovistar+los+olivos!3m8!1s0x9105cf035aadd309:0x278325a6ff63c9c!8m2!3d-11.9888504!4d-77.0723399!9m1!1b1!15sChNtb3Zpc3RhciBsb3Mgb2xpdm9zIgOIAQFaFSITbW92aXN0YXIgbG9zIG9saXZvc5IBEGNlbGxfcGhvbmVfc3RvcmXgAQA!16s%2Fg%2F1tgdv61q?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Fui después de años a la agencia de atención al cliente y por 2da vez me atendieron rapidamente y me dieron solución a mis dudas. Pero así como a mi me ayudaron, se que hay clientes que se retiran disconformes con la atención y el servicio que brindan.",fui después de años a la agencia de atención al cliente y por 2da vez me atendieron rapidamente y me dieron solución a mis dudas pero así como a mi me ayudaron se que hay clientes que se retiran disconformes con la atención y el servicio que brindan,252,48,False,False,False,False,True,muy positivo,True,False,,POS,positivo,0.8199767470359802,0.0132446167990565,0.1667787283658981,0.8199767470359802,muy positivo,muy positivo,False,alta,,muy positivo,consistencia_estrella_modelo,,,,,,,,,,larga,neutral,0.85,Combina elogio personal y queja de otros,neutral
1920,Rápida atención al momento de pagar en caja. Aunque nunca falta algún despistado que en su turno de pago no termina de seguir comprando enviando a alguien a buscar tal o cual cosa que se olvidó.,Metro,San Miguel,Retail,5,muy positivo,Hace 2 años,"https://www.google.com/maps/place/Metro+La+Marina/@-12.0891802,-77.3715373,10z/data=!4m12!1m2!2m1!1smetro+san+miguel!3m8!1s0x9105c97023499e85:0xcdd5aa58f24e5e51!8m2!3d-12.0766255!4d-77.0891354!9m1!1b1!15sChBtZXRybyBzYW4gbWlndWVsWhIiEG1ldHJvIHNhbiBtaWd1ZWySAQtzdXBlcm1hcmtldJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VObE5UVXlObk5uUlJBQuABAPoBBAgAEEE!16s%2Fg%2F12vqp1m59?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D",Rápida atención al momento de pagar en caja. Aunque nunca falta algún despistado que en su turno de pago no termina de seguir comprando enviando a alguien a buscar tal o cual cosa que se olvidó.,rápida atención al momento de pagar en caja aunque nunca falta algún despistado que en su turno de pago no termina de seguir comprando enviando a alguien a buscar tal o cual cosa que se olvidó,194,36,False,False,False,False,True,muy positivo,True,False,,NEG,negativo,0.641059160232544,0.641059160232544,0.3474375605583191,0.0115031916648149,,muy positivo,True,baja,sin_etiqueta_final_confiable,,sin_etiqueta,,,,,,,,,,media,positivo,0.85,"Elogia rapidez, menciona pequeños fallos",positivo
3904,"Pésimo. Ambiente tétrico, le falta más vida, falta de iluminación. Requieren hacer mantenimiento. Patio de comidas: Mesas rotas, asientos rasgados, y mejorar la comida muy simple, no tiene sabor",Tottus,Atocongo,Retail,2,negativo,Hace 3 años,"https://www.google.com/maps/place/Tottus/@-12.1472344,-76.9920292,15z/data=!4m8!3m7!1s0x9105b869706d27f1:0x989b4442c72af420!8m2!3d-12.1472556!4d-76.9817294!9m1!1b1!16s%2Fg%2F119vsqj6c?entry=ttu&g_ep=EgoyMDI2MDYwMy4xIKXMDSoASAFQAw%3D%3D","Pésimo. Ambiente tétrico, le falta más vida, falta de iluminación. Requieren hacer mantenimiento. Patio de comidas: Mesas rotas, asientos rasgados, y mejorar la comida muy simple, no tiene sabor",pésimo ambiente tétrico le falta más vida falta de iluminación requieren hacer mantenimiento patio de comidas mesas rotas asientos rasgados y mejorar la comida muy simple no tiene sabor,194,29,False,False,False,False,True,negativo,True,False,,NEG,negativo,0.9768624305725098,0.9768624305725098,0.0197059754282236,0.0034315956290811,negativo,negativo,False,alta,,negativo,consistencia_estrella_modelo,,,,,,,,,,media,muy negativo,0.96,"Critica fuertemente ambiente y servicio, tono negativo",muy negativo
