familia,modelo,estrategia,split,f1_macro,balanced_accuracy,f1_weighted,accuracy
clasico,svm,base,valid,0.4898,0.4904,0.5701,0.5962
clasico,svm,base,test,0.4587,0.4683,0.5477,0.5837
clasico,svm,balanced,valid,0.4953,0.4938,0.5676,0.5793
clasico,svm,balanced,test,0.4785,0.4823,0.5607,0.5813
clasico,svm,smote,valid,0.4852,0.4838,0.5491,0.5503
clasico,svm,smote,test,0.4799,0.4806,0.5541,0.5646
clasico,naive_bayes,base,valid,0.297,0.3908,0.4314,0.5763
clasico,naive_bayes,base,test,0.2925,0.3867,0.4265,0.5706
clasico,naive_bayes,smote,valid,0.5009,0.5093,0.5569,0.5513
clasico,naive_bayes,smote,test,0.4865,0.4896,0.5494,0.5455
