familia,modelo,estrategia,split,f1_macro,balanced_accuracy,f1_weighted,accuracy
clasico,svm,base,valid,0.47,0.4739,0.5513,0.5789
clasico,svm,base,test,0.5066,0.5101,0.5913,0.6284
clasico,svm,balanced,valid,0.47,0.4708,0.5457,0.5582
clasico,svm,balanced,test,0.5203,0.5201,0.5964,0.6188
clasico,svm,smote,valid,0.4873,0.4863,0.5544,0.5582
clasico,svm,smote,test,0.506,0.5042,0.5783,0.5917
clasico,naive_bayes,base,valid,0.2953,0.3799,0.4238,0.5582
clasico,naive_bayes,base,test,0.3062,0.3969,0.4397,0.5821
clasico,naive_bayes,smote,valid,0.4779,0.48,0.538,0.5263
clasico,naive_bayes,smote,test,0.5207,0.5218,0.5773,0.5742
deep_learning,cnn,base,valid,0.48,0.4826,0.5594,0.5694
deep_learning,cnn,base,test,0.5102,0.5113,0.5827,0.6013
deep_learning,cnn,class_weight,valid,0.4542,0.455,0.5227,0.5152
deep_learning,cnn,class_weight,test,0.4981,0.4994,0.5609,0.563
deep_learning,lstm,base,valid,0.463,0.4688,0.536,0.5518
deep_learning,lstm,base,test,0.4969,0.5017,0.5647,0.5821
deep_learning,lstm,class_weight,valid,0.4737,0.4727,0.5445,0.5455
deep_learning,lstm,class_weight,test,0.5247,0.5222,0.5858,0.5917
transformer,beto,class_weight,valid,0.6339,0.6382,0.6759,0.6699
transformer,beto,class_weight,test,0.6328,0.6298,0.6812,0.6826
transformer,xlm_roberta,class_weight,valid,0.6035,0.606,0.6554,0.6523
transformer,xlm_roberta,class_weight,test,0.6498,0.6509,0.697,0.7033
