id_registro,empresa,rubro,estrellas,comentario_limpio,etiqueta_llm,confianza_llm,justificacion_llm,etiqueta_pipeline_anterior,etiqueta_corregida
589,Claro,Telecomunicaciones,4,Muy buen trabajo,muy positivo,0.0,Elogio breve pero entusiasta.,positivo,
291,BCP,Banca,5,Centro financiero completo!,muy positivo,0.0,"Destaca completitud del centro, tono entusiasta.",neutral,
4697,Wong,Retail,4,"MUCHA VARIEDAD , NO ME PUEDO QUEJAR ... FRESCO BIEN PRESENTADO LIMPIO , ALGO CARO , BUENA ATENCION , LAS COCHERAS POCAS , PERSONAL AMABLE",positivo,0.0,"Muchos elogios, menciona precio alto y pocas cocheras.",positivo,
1198,Falabella,Retail,4,La Ropa de mujer está dividió en 2 pisos.. ☺️,neutral,0.0,"Solo describe distribución, sin valoración.",,
2391,Movistar,Telecomunicaciones,1,La atención fue muy buena pero los productos que vende o las promociones son malas en calidad una estafa no deben incluir sus celulares con los servicios de cable o internet,muy negativo,0.0,Elogia atención pero denuncia estafa y mala calidad.,muy negativo,
3298,Plaza Vea,Retail,4,"Siempre voy a hacer mis compras, pocas cajas para pagar pero avanzan rapido",positivo,0.0,"Fidelidad, reconoce pocas cajas pero rapidez.",positivo,
151,BCP,Banca,1,Desaparecieron el saldo de cuenta sueldo y no hay solución me enviaron a Indecopi a reclamar. Cómo se le llama cuando el banco simplemente desaparece tú dinero qué y nadie se hace responsable.,muy negativo,0.0,Denuncia pérdida de dinero y falta de responsabilidad.,muy negativo,
222,BCP,Banca,1,"Pésima atencion, app que no funcionan, no responden llamadas. Se ha vuelto el PEOR banco del Perú. NO RECOMIENDO ABRIR UNA CUENTA ALLA !!! Poor service, no reliable apps, no efficient customer service, BCP became the worst bank in Peru. DO NOT OPEN AN ACCOUNT THERE !!!",muy negativo,0.0,"Denuncia pésima atención, apps, llama peor banco.",muy negativo,
4695,Wong,Retail,4,Bonito Lugar para comprar con personal Dinámicos y atentos. Tiene parqueaderos,muy positivo,0.0,"Elogio entusiasta al lugar, personal y parqueaderos.",positivo,
2069,Movistar,Telecomunicaciones,4,Muy buena atención,muy positivo,0.0,Elogio entusiasta a la atención.,positivo,
644,Claro,Telecomunicaciones,1,"Muy lento más de 1 hora esperando en la cola afuera del establecimiento... luego esperar cuando ya uno ingresa. Muy lento, pésima atención al cliente.",muy negativo,0.0,"Larga espera y atención pésima, tono enfadado.",muy negativo,
732,Claro,Telecomunicaciones,5,"Le doy 5 estrellas por la calidad del lugar. Por la facilidad de pago con los cajeros y ventanilla para pagos sin embargo de lunes a viernes casi siempre hay cola. Ese es el único problema, las colas igual que en todo centro de atención creo.",positivo,0.0,"Calidad y pago fácil, queja menor de colas.",,
3974,Tottus,Retail,4,Es amplio y encontré ropa tallas 10_16 para niñas y niños. Y tallas 2_6 para bbebes,neutral,0.0,Describe variedad de tallas sin valoración.,neutral,
2918,Plaza Vea,Retail,1,"Muy mal ,publican cosas en los diarios ,y , cuando va a Plaza Vea , no hay y preguntando , dicen nunca haber tenido. Problemas con las cajas ,más de media hora esperando ,en cola para pagar. Gran mayoría de cajas cerradas. Que diferencia con Los chilenos , tenemos mucho que aprender ,y no lo hacemos",muy negativo,0.0,"Quejas múltiples, largas esperas, falta de stock, tono crítico.",muy negativo,
4592,Wong,Retail,5,"Supermercado muy ordendo, todos muy atentos. Encuentras productos comestibles importados. Super bien ubicado",muy positivo,0.0,"Elogio entusiasta a orden, atención y ubicación.",muy positivo,
4080,Tottus,Retail,4,Very good Good place for shopping Muy ordenado Ahora cobran a sus clientes por utilizar el baño,positivo,0.0,"Elogia orden y compras, menciona cobro baño.",positivo,
1970,Movistar,Telecomunicaciones,1,Personal sin experiencia y falta de buen trato a los clientes.,negativo,0.0,Critica falta de experiencia y mal trato.,muy negativo,
1132,Falabella,Retail,1,"Las cajeras tardan como 20 minutos por persona, que abuso de hacer perder el tiempo 01.02.2026 7.55pm",muy negativo,0.0,"Demora excesiva, siente abuso de tiempo.",muy negativo,
373,Claro,Telecomunicaciones,1,El centro está cerrado y en la página de claro figura cómo abierto.,negativo,0.0,Informa cierre inesperado y página desactualizada.,muy negativo,
221,BCP,Banca,1,Mala atencion,negativo,0.0,Breve queja de mala atención.,muy negativo,
210,BCP,Banca,5,Para,neutral,0.6,Texto insuficiente para polaridad,,
2339,Movistar,Telecomunicaciones,5,"Atencion rapida si vas temprano, plan de 9 am, si vas mas tarde todo se complica 5 estrellas x la ubicación en el corazon financiero del Perú, San Isidro.",neutral,0.7,"Alaba rapidez temprana, advierte complicaciones tarde",neutral,
2947,Plaza Vea,Retail,3,Un lugar amplio para encontrar buenos precios y regular calidad...,neutral,0.7,"Positivo precio, calidad regular, balance.",,
870,Entel,Telecomunicaciones,5,Bien,positivo,0.7,Comentario breve pero favorable,,
769,Claro,Telecomunicaciones,1,Mal servicio,negativo,0.75,Queja breve de mala atención,muy negativo,
2527,Oechsle,Retail,4,Deberían retirar a los ambientes que le dan una mala imagen. El doble fila de autos taxi en plena Avenida Javier Prado. Ya más tranquilo en el interior del Jockey.,negativo,0.75,"Crítica a imagen, pese a interior tranquilo.",,
2823,Plaza Vea,Retail,4,"Lugar ordenado,no tan grande pero posee gran variedad de productos como útiles de escritorio,panadería,ropa,bebidas gaseosas y alcohólicas. El costo es moderado. Cuentan también con un área para comer,pues venden comida ya preparada por peso(el costo no es caro pero el sabor no es muy agradable).",neutral,0.75,Elogios y queja de sabor equilibrados.,neutral,
3297,Plaza Vea,Retail,4,"Con los últimos cambios que han hecho se vecuna mejor distribución pero en lo personal no me gusta mucho, pero si destaco la atención en las cajas, es un poco mas rápida.",neutral,0.75,Elogios y quejas equilibrados.,positivo,
1331,Falabella,Retail,4,Todo bien...para mi gusto deberían vender ropa de mejor calidad...también deberían colgar las prendas planchada y no dejarlas arrugadas.,positivo,0.75,Comentario mayormente positivo con sugerencias,neutral,
3448,Ripley,Retail,4,"Por Campaña Navideña he visto buenos productos a un precio aceptable, algo negativo quizá es que la diversidad de marcas no es la misma que se tenía antes (puede deberse a la pandemia, el lugar tiene suficiente espacio y están respetando los protocolos de seguridad, en general un local muy balanceado, mucho mejor ordenado que otros locales de Ripley.",neutral,0.75,Combina elogios y queja menor sobre marcas,,
4582,Wong,Retail,5,"Muy completo, pero no tiene la venta de suplementos deportivos como el Wong que está en ovalo Gutiérrez",positivo,0.75,"Elogia completitud, menciona falta de suplementos",neutral,
4238,Tottus,Retail,4,"Chevere, muchas cosas mucho más baratas que en otros super, y sin ser enorme bien stockeado. Pero siempre te encontrarás reponedores ocupando bastante espacio. No les vendría mal un mejor stock de producto local",positivo,0.75,"Elogios predominan, críticas menores.",positivo,
1191,Falabella,Retail,4,"Hay cosas lindas y de buena calidad pero también algunas prendas tienen fallas les faltan botones a las blusas ,chequear eso porque si no compras con fallas .😉…",neutral,0.75,"Elogia y critica, equilibrio",neutral,
1838,Metro,Retail,2,Es muy grande pero hay q tener mad orden,negativo,0.75,"Critica falta de orden, sin elogios claros",negativo,
1722,Metro,Retail,4,"Precio mas bajos siempre, local anticuado, Actualizando, tiene mejorado ambiente por fin d año 2024",neutral,0.75,"Menciona precios bajos y mejoras, pero también anticuado.",neutral,
