familia,modelo,config,f1_macro_medio,f1_macro_std,f1_macro_oof,balanced_accuracy_oof,f1_weighted_oof,accuracy_oof,segundos
transformer,beto,"{""lr"": 3e-05}",0.636,0.0506,0.6362,0.6453,0.6511,0.65,1432.3
transformer,beto,"{""lr"": 2e-05}",0.5918,0.0636,0.591,0.6083,0.6049,0.61,241.7
deep_learning,lstm,"{""hidden"": 256, ""lr"": 0.0005}",0.4693,0.0392,0.4736,0.4765,0.5131,0.506,10.7
deep_learning,lstm,"{""hidden"": 256, ""lr"": 0.001}",0.4688,0.0357,0.4723,0.4786,0.5066,0.51,8.2
deep_learning,lstm,"{""hidden"": 128, ""lr"": 0.001}",0.4661,0.0458,0.4702,0.4679,0.5089,0.5,6.6
clasico,svm,"{""C"": 0.5}",0.4564,0.0303,0.4575,0.4613,0.4903,0.502,0.3
transformer,xlm_roberta,"{""lr"": 3e-05}",0.455,0.0421,0.468,0.5,0.4793,0.5,130.7
deep_learning,cnn,"{""lr"": 0.0005, ""num_filtros"": 150}",0.4513,0.0477,0.4558,0.4678,0.4979,0.518,6.3
clasico,naive_bayes,"{""alpha"": 1.0, ""usar_smote"": true}",0.4495,0.035,0.4496,0.4571,0.4714,0.476,0.3
clasico,naive_bayes,"{""alpha"": 0.5, ""usar_smote"": true}",0.4475,0.0389,0.4483,0.4544,0.4666,0.47,0.3
clasico,svm,"{""C"": 1.0}",0.4471,0.0235,0.4476,0.4496,0.4803,0.49,0.2
deep_learning,cnn,"{""lr"": 0.001, ""num_filtros"": 150}",0.4419,0.0545,0.4527,0.4569,0.4965,0.508,5.2
clasico,naive_bayes,"{""alpha"": 0.1, ""usar_smote"": true}",0.4383,0.027,0.4391,0.4448,0.4625,0.47,1.8
deep_learning,lstm,"{""hidden"": 128, ""lr"": 0.0005}",0.4346,0.1005,0.446,0.4464,0.4749,0.46,3.6
clasico,svm,"{""C"": 5.0}",0.422,0.0238,0.4243,0.4238,0.4572,0.462,0.3
clasico,naive_bayes,"{""alpha"": 0.1, ""usar_smote"": false}",0.4187,0.0393,0.4231,0.4326,0.4701,0.504,0.2
deep_learning,cnn,"{""lr"": 0.001, ""num_filtros"": 100}",0.4132,0.0637,0.4218,0.4249,0.4651,0.478,7.4
deep_learning,cnn,"{""lr"": 0.0005, ""num_filtros"": 100}",0.3957,0.0649,0.4033,0.418,0.4469,0.462,5.1
clasico,naive_bayes,"{""alpha"": 0.5, ""usar_smote"": false}",0.3853,0.0527,0.388,0.4234,0.4507,0.532,0.2
transformer,xlm_roberta,"{""lr"": 2e-05}",0.3803,0.0457,0.3902,0.4416,0.4086,0.454,1296.8
clasico,naive_bayes,"{""alpha"": 1.0, ""usar_smote"": false}",0.329,0.0421,0.3305,0.3863,0.4009,0.508,0.2
