id_registro,empresa,rubro,estrellas,comentario_limpio,etiqueta_modelo,confianza_modelo,cluster,sentimiento_v2,etiqueta_revisada,observacion_revision
2955,Plaza Vea,Retail,4,"Llegó la Navidad a Plaza Vea Miraflores, adornos para escoger y hoy probé las alitas broaster y lasagna, estaba rico 👍 hay un bonito ambiente para comer y microondas para calentar tu comida 👍…",positivo,0.4309000074863434,21.0,muy positivo,,
4713,Wong,Retail,5,SEÑORES DE GOOGLE EN WONG 2 DE MAYO NO HAY MODULO DE TELETICKET. BORRAR ESA INFORMACIÓN X FAVOR GRACIAS,negativo,0.3169000148773193,4.0,negativo,,
3159,Plaza Vea,Retail,5,"Tranquilo...no mucha gente,poquísima cola al pagar en caja ..👍👍👍👍👍…",neutral,0.4559000134468078,9.0,muy positivo,,
1359,Falabella,Retail,5,"Tienda por departamento con mucha variedad de productos. El primer y segundo piso es para damas; el tercero, para caballeros! y el cuarto, para el hogar y productos de tecnología.",positivo,0.4004999995231628,23.0,neutral,,
2819,Plaza Vea,Retail,4,"Este Local es chévere, sobre todo su menú de comida es más barato que otros supermercados, lo malo es que hay que pagar cochera.",neutral,0.454800009727478,6.0,positivo,,
3185,Plaza Vea,Retail,5,Siguieron atendiendo cuando más se los necesita,neutral,0.4156000018119812,6.0,positivo,,
3116,Plaza Vea,Retail,4,Buenas ofertas para navidad aprovechar la liquidación de juguetes. Aunque los de. Moda si están caros,neutral,0.4602000117301941,11.0,neutral,,
838,Entel,Telecomunicaciones,4,Sin espacio,negativo,0.4623999893665313,4.0,negativo,,
4071,Tottus,Retail,3,"Pasillos amplios, buena variedad, pero lo sentí desordenado y desabastecido en ciertas zonas. Deben buscar una manera de organizar los productos y no solo amontonarlos, pues hay tantos que uno no puede encontrar fácilmente lo que busca.",neutral,0.4941000044345855,4.0,negativo,,
1817,Metro,Retail,5,Fui a recoger un pedido que hice por web y muy rápido ahora la entrega con el QR.,positivo,0.4244999885559082,6.0,positivo,,
3949,Tottus,Retail,4,"Abierto desde las 8 am, gran variedad de productos, pero no hay muchas cajas atendiendo por si tienes prisa",positivo,0.4896999895572662,23.0,neutral,,
12,BBVA,Banca,2,Cierran a las 12 los sábados tomen sus precauciones,negativo,0.367900013923645,6.0,neutral,,
3978,Tottus,Retail,4,"Todo muy bonito la tienda, tiene todo para el hogar , solo tienen que enseñar a sus colaboradores de la sección de comidas a freír bien el plátano, hoy fui a desayunar y el plátano estaba crudo, por lo demás todo bien.",muy positivo,0.4864999949932098,6.0,positivo,,
4105,Tottus,Retail,4,"Lugar limpio, ordenado, muy espacioso buenos productos, pocas ofertas, buena atención de los colaboradores, recomendable para realizar sus compras.",muy positivo,0.4968000054359436,10.0,positivo,,
3099,Plaza Vea,Retail,4,"Un supermercado más. Recuerdo cuando era pequeña y no existían estos supermercados. Habían mercados y mi mamá iba todos los días a comprar lo que se necesitaba para el día. Llevaba su canasta hecha de paja pero era blanda con sus fuertes asas. Aún la tengo como gran recuerdo de esos años. Allí conocí a los caseritos que llamaban a mi mamá por su nombre. De repente, aparecieron estos supermercados, llenos de productos variados, con pagos con tarjetas de plástico, sin caseritos, sin yapas, con colas para pagar, con saludos mecánicos, sin toque humano. No puedo negar lo práctico que es comprar en supermercados como Plaza Vea u otro. Hay de todo, hasta electrodomésticos, colchones, ropa y comida hecha. Ah y las ofertas, muy convenientes, pero para quien? Ese es un misterio. Como se darán cuenta yo no frecuento estos supermercados porque soy muy feliz comprando en el mercado frente a mi casa. No voy todos los días con mi canasta tejida con paja, pero si con mi bolsa de tela y la conversación con mis caseritos es una bendición, algo inapreciable. Pago en efectivo, gano yapas siempre y pequeños grandes regalos por el día de la madre, el Día del maestro, por mi cumpleaños, navidad, etc. Si ustedes consideran ok yendo a supermercados como Plaza Vea está bien, yo prefiero a mis caseritos y sobre todo que la plata va directamente a peruanos que trabajan duro para salir adelante, así mi patria sale adelante y no las transnacionales.",negativo,0.4235999882221222,21.0,negativo,,
